ID	Title	Country	Ctl	MA	Type	Drugs	Primary Endpoint	Population	
<a href="https://ClinicalTrials.gov/show/NCT04333407">NCT04333407</a>	Preventing Cardiac Complication of COVID-19 Disease With Early Acute Coronary Syndrome Therapy: A Randomised Controlled Trial.	United Kingdom	Y	Y	Drug Repurposing	Aspirin, Clopidogrel, Rivaroxaban, Atorvastatin, Omeprazole	Efficacy - Mortality	Mild/Moderate Cases, Severe Cases	
<a href="https://ClinicalTrials.gov/show/NCT04343755">NCT04343755</a>	Convalescent Plasma as Treatment for Hospitalized Subjects With COVID-19 Infection	United States	N	N	Cell/Blood based	ND:Convalescent plasma	Efficacy - WHO scale	Mild/Moderate Cases, Severe Cases	
<a href="https://ClinicalTrials.gov/show/NCT04333420">NCT04333420</a>	Open-label, Randomized Study of IFX-1 in Patients With Severe COVID-19 Pneumonia	Netherlands	Y	N	Shelved drug or NME	IFX-1	Efficacy - Oxygen parameters	Severe Cases	
<a href="https://ClinicalTrials.gov/show/NCT04324489">NCT04324489</a>	DAS181 for Severe COVID-19: Compassionate Use	China	N	N	Shelved drug or NME	DAS181	Efficacy - Clinical improvement (except WHO scale)	Severe Cases	
<a href="https://ClinicalTrials.gov/show/NCT04329611">NCT04329611</a>	ALBERTA HOPE COVID-19 for the Prevention of Severe COVID19 Disease	Canada	Y	N	Drug Repurposing	Hydroxychloroquine	Efficacy - Other efficacy	Mild/Moderate Cases	
<a href="https://ClinicalTrials.gov/show/NCT04335123">NCT04335123</a>	Study of Open Label Losartan in COVID-19	United States	N	N	Drug Repurposing	Losartan	Safety	Severe Cases	
<a href="https://ClinicalTrials.gov/show/NCT04360356">NCT04360356</a>	Ivermectin and Nitazoxanide Combination Therapy for COVID-19	Egypt	Y	N	Drug Repurposing	Ivermectin, Nitazoxanide	Efficacy - Viral load	Mild/Moderate Cases	
<a href="https://ClinicalTrials.gov/show/NCT04350593">NCT04350593</a>	Dapagliflozin in Respiratory Failure in Patients With COVID-19	United States	Y	N	Drug Repurposing	Dapagliflozin	Efficacy - Clinical improvement (except WHO scale)	Mild/Moderate Cases	
<a href="https://ClinicalTrials.gov/show/NCT04352933">NCT04352933</a>	PROLIFIC ChemoprophylaxisTrial (COVID-19)	United Kingdom	Y	Y	Drug Repurposing	Hydroxychloroquine	Efficacy - Infection rate (prevention)	Exposed individuals (family members, HCP)	
<a href="https://ClinicalTrials.gov/show/NCT04361318">NCT04361318</a>	Hydroxychloroquine and Nitazoxanide Combination Therapy for COVID-19	Egypt	Y	N	Drug Repurposing	Hydroxychloroquine, Nitazoxanide	Efficacy - Viral load	Mild/Moderate Cases, Severe Cases	
<a href="https://ClinicalTrials.gov/show/NCT04347889">NCT04347889</a>	Preventing COVID-19 in Healthcare Workers With HCQ: A RCT	United States	Y	N	Drug Repurposing	Hydroxychloroquine, Ascorbic acid	Efficacy - Infection rate (prevention)	Exposed individuals (family members, HCP)	
<a href="https://ClinicalTrials.gov/show/NCT04325633">NCT04325633</a>	Efficacy of Addition of Naproxen in the Treatment of Critically Ill Patients Hospitalized for COVID-19 Infection	France	Y	N	Drug Repurposing	Naproxen	Efficacy - Mortality	Mild/Moderate Cases, Severe Cases	
<a href="https://ClinicalTrials.gov/show/NCT04339660">NCT04339660</a>	Clinical Research of Human Mesenchymal Stem Cells in the Treatment of COVID-19 Pneumonia	China	Y	N	Shelved drug or NME	ND:Stem cells	Other	Severe Cases	
<a href="https://ClinicalTrials.gov/show/NCT04321993">NCT04321993</a>	Treatment of Moderate to Severe Coronavirus Disease (COVID-19) in Hospitalized Patients	Canada	Y	Y	Drug Repurposing	Lopinavir/ritonavir, Hydroxychloroquine, Baricitinib	Efficacy - WHO scale	Mild/Moderate Cases, Severe Cases	
<a href="https://ClinicalTrials.gov/show/NCT04357444">NCT04357444</a>	Low Dose of IL-2 In Acute Respiratory DistrEss Syndrome Related to COVID-19	France	Y	N	Drug Repurposing	IL2	Efficacy - Oxygen parameters	Mild/Moderate Cases, Severe Cases	
<a href="https://ClinicalTrials.gov/show/NCT04317092">NCT04317092</a>	Tocilizumab in COVID-19 Pneumonia (TOCIVID-19)	Italy	N	N	Drug Repurposing	Tocilizumab	Efficacy - Mortality	Mild/Moderate Cases, Severe Cases	
<a href="https://ClinicalTrials.gov/show/NCT04348071">NCT04348071</a>	Safety and Efficacy of Ruxolitinib for COVID-19	United States	N	N	Drug Repurposing	Ruxolitinib	Safety	Severe Cases	
<a href="https://ClinicalTrials.gov/show/NCT04340232">NCT04340232</a>	Safety and Efficacy of Baricitinib for COVID-19	United States	N	N	Drug Repurposing	Baricitinib	Efficacy - WHO scale	Mild/Moderate Cases, Severe Cases	
<a href="https://ClinicalTrials.gov/show/NCT04362137">NCT04362137</a>	Phase 3 Randomized, Double-blind, Placebo-controlled Multi-center Study to Assess the Efficacy and Safety of Ruxolitinib in Patients With COVID-19 Associated Cytokine Storm (RUXCOVID)	United States	Y	N	Drug Repurposing	Ruxolitinib	Efficacy - Other efficacy	Mild/Moderate Cases, Severe Cases	
<a href="https://ClinicalTrials.gov/show/NCT04354389">NCT04354389</a>	DAS181 for STOP COVID-19	Italy	Y	N	Shelved drug or NME	DAS181	Efficacy - WHO scale	Mild/Moderate Cases, Severe Cases	
<a href="https://ClinicalTrials.gov/show/NCT04346199">NCT04346199</a>	Acalabrutinib Study With Best Supportive Care Versus Best Supportive Care in Subjects Hospitalized With COVID-19. CALAVI (Calquence Against the Virus)	United States	Y	N	Drug Repurposing	Acalabrutinib	Efficacy - Other efficacy	Severe Cases	
<a href="https://ClinicalTrials.gov/show/NCT04329832">NCT04329832</a>	Hydroxychloroquine vs. Azithromycin for Hospitalized Patients With Suspected or Confirmed COVID-19	United States	Y	N	Drug Repurposing	Hydroxychloroquine	Efficacy - Clinical improvement (except WHO scale)	Mild/Moderate Cases	
<a href="https://ClinicalTrials.gov/show/NCT04324996">NCT04324996</a>	A Phase I/II Study of Universal Off-the-shelf NKG2D-ACE2 CAR-NK Cells for Therapy of COVID-19	China	N	Y	Cell/Blood based	ND:T-cells	Efficacy - Clinical improvement (except WHO scale)	Mild/Moderate Cases	
<a href="https://ClinicalTrials.gov/show/NCT04354597">NCT04354597</a>	Hydroxychloroquine and Azithromycin as Prophylaxis for Healthcare Workers Dealing With COVID19 Patients	Jordan	Y	N	Drug Repurposing	Hydroxychloroquine, Azithromycin	Efficacy - Infection rate (prevention)	Exposed individuals (family members, HCP)	
<a href="https://ClinicalTrials.gov/show/NCT04359615">NCT04359615</a>	Favipiravir in Hospitalized COVID-19 Patients	Iran	Y	N	Drug Repurposing	Favipiravir	Efficacy - WHO scale	Mild/Moderate Cases, Severe Cases	
<a href="https://ClinicalTrials.gov/show/NCT04359316">NCT04359316</a>	Azithromycin in Hospitalized COVID-19 Patients	Iran	Y	N	Drug Repurposing	Azithromycin	Efficacy - WHO scale	Mild/Moderate Cases, Severe Cases	
<a href="https://ClinicalTrials.gov/show/NCT04352400">NCT04352400</a>	Efficacy of Nafamostat in Covid-19 Patients (RACONA Study)	Italy	Y	N	Drug Repurposing	Nafamostat	Efficacy - Clinical improvement (except WHO scale)	Mild/Moderate Cases, Severe Cases	
<a href="https://ClinicalTrials.gov/show/NCT04333355">NCT04333355</a>	Safety in Convalescent Plasma Transfusion to COVID-19	Mexico	N	N	Cell/Blood based	ND:Convalescent plasma	Safety	Severe Cases	
<a href="https://ClinicalTrials.gov/show/NCT04343768">NCT04343768</a>	An Investigation Into Beneficial Effects of Interferon Beta 1a, Compared to Interferon Beta 1b And The Base Therapeutic Regiment in Moderate to Severe COVID-19: A Randomized Clinical Trial	Iran	Y	Y	Drug Repurposing	Hydroxychloroquine, Lopinavir/ritonavir, Interferon Beta-1A, Interferon Beta-1B	Efficacy - Clinical improvement (except WHO scale)	Mild/Moderate Cases, Severe Cases	
<a href="https://ClinicalTrials.gov/show/NCT04252118">NCT04252118</a>	Mesenchymal Stem Cell Treatment for Pneumonia Patients Infected With COVID-19	China	Y	N	Shelved drug or NME	ND:Stem cells	Efficacy - Other efficacy	Mild/Moderate Cases	
<a href="https://ClinicalTrials.gov/show/NCT04348656">NCT04348656</a>	CONvalescent Plasma for Hospitalized Adults With COVID-19 Respiratory Illness (CONCOR-1)	Canada	Y	N	Cell/Blood based	ND:Convalescent plasma	Efficacy - Mortality	Severe Cases	
<a href="https://ClinicalTrials.gov/show/NCT04355936">NCT04355936</a>	Telmisartan for Treatment of COVID-19 Patients	Argentina	Y	N	Drug Repurposing	Telmisartan	Efficacy - Oxygen parameters	Mild/Moderate Cases, Severe Cases	
<a href="https://ClinicalTrials.gov/show/NCT04330586">NCT04330586</a>	A Trial of Ciclesonide in Adults With Mild COVID-19	Korea, Republic of	Y	Y	Drug Repurposing	Ciclesonide, Hydroxychloroquine	Efficacy - Viral load	General population	
<a href="https://ClinicalTrials.gov/show/NCT04345523">NCT04345523</a>	Convalescent Plasma Therapy vs. SOC for the Treatment of COVID19 in Hospitalized Patients	Spain	Y	N	Cell/Blood based	ND:Convalescent plasma	Efficacy - WHO scale	Severe Cases	
<a href="https://ClinicalTrials.gov/show/NCT04350671">NCT04350671</a>	Interferon Beta 1a in Hospitalized COVID-19 Patients	Iran	Y	N	Drug Repurposing	Interferon beta-1A	Efficacy - WHO scale	Severe Cases	
<a href="https://ClinicalTrials.gov/show/NCT04361643">NCT04361643</a>	LENALIDOMIDE COVID-19 TRIAL	Spain	Y	N	Drug Repurposing	Lenalidomide	Efficacy - Clinical improvement (except WHO scale)	Mild/Moderate Cases, Severe Cases	
<a href="https://ClinicalTrials.gov/show/NCT04350684">NCT04350684</a>	Umifenovir in Hospitalized COVID-19 Patients	Iran	Y	N	Drug Repurposing	Umifenovir	Efficacy - WHO scale	Mild/Moderate Cases, Severe Cases	
<a href="https://ClinicalTrials.gov/show/NCT04354714">NCT04354714</a>	Ruxolitinib to Combat COVID-19	United States	N	N	Drug Repurposing	Ruxolitinib	Efficacy - Mortality	Severe Cases	
<a href="https://ClinicalTrials.gov/show/NCT04328285">NCT04328285</a>	Chemoprophylaxis of SARS-CoV-2 Infection (COVID-19) in Exposed Healthcare Workers	France	Y	Y	Drug Repurposing	Hydroxychloroquine, Lopinavir/ritonavir	Efficacy - Infection rate (prevention)	Exposed individuals (family members, HCP)	
<a href="https://ClinicalTrials.gov/show/NCT04355897">NCT04355897</a>	CoVID-19 Plasma in Treatment of COVID-19 Patients	United States	N	N	Cell/Blood based	ND:Convalescent plasma	Efficacy - Mortality	Mild/Moderate Cases, Severe Cases	
<a href="https://ClinicalTrials.gov/show/NCT04315298">NCT04315298</a>	Evaluation of the Efficacy and Safety of Sarilumab in Hospitalized Patients With COVID-19	United States	Y	Y	Drug Repurposing	Sarilumab	Efficacy - WHO scale	Mild/Moderate Cases, Severe Cases	
<a href="https://ClinicalTrials.gov/show/NCT04357808">NCT04357808</a>	Efficacy of Subcutaneous Sarilumab in Hospitalised Patients With Moderate-severe COVID-19 Infection (SARCOVID)	Spain	Y	N	Drug Repurposing	Sarilumab	Efficacy - Clinical improvement (except WHO scale)	Mild/Moderate Cases, Severe Cases	
<a href="https://ClinicalTrials.gov/show/NCT04330638">NCT04330638</a>	Treatment of COVID-19 Patients With Anti-interleukin Drugs	Belgium	Y	Y	Drug Repurposing	Anakinra, Siltuximab, Tocilizumab	Efficacy - WHO scale	Mild/Moderate Cases, Severe Cases	
<a href="https://ClinicalTrials.gov/show/NCT04362124">NCT04362124</a>	Performance Evaluation of BCG vs COVID-19	Colombia	Y	N	Drug Repurposing	BCG	Efficacy - Infection rate (prevention)	Exposed individuals (family members, HCP)	
<a href="https://ClinicalTrials.gov/show/NCT04361214">NCT04361214</a>	Leflunomide in Mild COVID-19 Patients	United States	N	N	Drug Repurposing	Leflunomide	Safety	Mild/Moderate Cases	
<a href="https://ClinicalTrials.gov/show/NCT04299724">NCT04299724</a>	Safety and Immunity of Covid-19 aAPC Vaccine	China	N	N	Vaccine	ND:Covid-19 aAPC vaccine	Safety	General population, Mild/Moderate Cases	
<a href="https://ClinicalTrials.gov/show/NCT04326920">NCT04326920</a>	Sargramostim in Patients With Acute Hypoxic Respiratory Failure Due to COVID-19 (SARPAC)	Belgium	Y	N	Drug Repurposing	Sargramostim	Efficacy - Oxygen parameters	Mild/Moderate Cases	
<a href="https://ClinicalTrials.gov/show/NCT04304313">NCT04304313</a>	A Pilot Study of Sildenafil in COVID-19	China	N	N	Drug Repurposing	Sildenafil	Efficacy - Clinical improvement (except WHO scale)	Mild/Moderate Cases, Severe Cases	
<a href="https://ClinicalTrials.gov/show/NCT04355247">NCT04355247</a>	Prophylactic Corticosteroid to Prevent COVID-19 Cytokine Storm	United States	N	N	Drug Repurposing	Methylprednisolone	Efficacy - Clinical improvement (except WHO scale)	Severe Cases	
<a href="https://ClinicalTrials.gov/show/NCT04353284">NCT04353284</a>	Camostat Mesylate in COVID-19 Outpatients	United States	Y	N	Drug Repurposing	Camostat	Efficacy - Viral load	Mild/Moderate Cases, Severe Cases	
<a href="https://ClinicalTrials.gov/show/NCT04356690">NCT04356690</a>	Etoposide in Patients With COVID-19 Infection	United States	N	N	Drug Repurposing	Etoposide	Efficacy - Other efficacy	Mild/Moderate Cases, Severe Cases	
<a href="https://ClinicalTrials.gov/show/NCT04351763">NCT04351763</a>	Amiodarone or Verapamil in COVID-19 Hospitalized Patients With Symptoms	Poland	Y	Y	Drug Repurposing	Amiodarone, Verapamil	Efficacy - Clinical improvement (except WHO scale)	Mild/Moderate Cases	
<a href="https://ClinicalTrials.gov/show/NCT04354805">NCT04354805</a>	Administration of Chloropromazine as a Treatment for COVID-19	Egypt	Y	N	Drug Repurposing	Chloropromazine	Other	Mild/Moderate Cases, Severe Cases	
<a href="https://ClinicalTrials.gov/show/NCT04340544">NCT04340544</a>	Hydroxychloroquine for the Treatment of Mild COVID-19 Disease	Germany	Y	N	Drug Repurposing	Hydroxychloroquine	Efficacy - Clinical improvement (except WHO scale)	Mild/Moderate Cases	
<a href="https://ClinicalTrials.gov/show/NCT04338828">NCT04338828</a>	Nitric Oxide Inhalation Therapy for COVID-19 Infections in the ED	United States	Y	N	Drug Repurposing	Nitric Oxide	Efficacy - Other efficacy	Mild/Moderate Cases	
<a href="https://ClinicalTrials.gov/show/NCT04338958">NCT04338958</a>	Ruxolitinib in Covid-19 Patients With Defined Hyperinflammation	Germany	N	N	Drug Repurposing	Ruxolitinib	Efficacy - Other efficacy	Mild/Moderate Cases, Severe Cases	
<a href="https://ClinicalTrials.gov/show/NCT04334512">NCT04334512</a>	A Study of Quintuple Therapy to Treat COVID-19 Infection	United States	N	N	Drug Repurposing	Hydroxychloroquine, Azithromycin, Ascorbic acid, Vitamin D, Zinc	Efficacy - Clinical improvement (except WHO scale)	Mild/Moderate Cases, Severe Cases	
<a href="https://ClinicalTrials.gov/show/NCT04338074">NCT04338074</a>	TXA and Corona Virus 2019 (COVID19) in Outpatients	United States	Y	N	Drug Repurposing	Tranexamic acid	Efficacy - Clinical improvement (except WHO scale)	Mild/Moderate Cases	
<a href="https://ClinicalTrials.gov/show/NCT04338126">NCT04338126</a>	Tranexamic Acid (TXA) and Corona Virus 2019 (COVID19) in Inpatients	United States	Y	N	Drug Repurposing	Tranexamic acid	Efficacy - Clinical improvement (except WHO scale)	Mild/Moderate Cases	
<a href="https://ClinicalTrials.gov/show/NCT04355026">NCT04355026</a>	Use of Bromhexine and Hydroxychloroquine for Treatment of COVID-19 Pneumonia	Slovenia	Y	N	Drug Repurposing	Bromhexine	Efficacy - Other efficacy	Mild/Moderate Cases, Severe Cases	
<a href="https://ClinicalTrials.gov/show/NCT04341675">NCT04341675</a>	Sirolimus Treatment in Hospitalized Patients With COVID-19 Pneumonia	United States	Y	N	Drug Repurposing	Sirolimus	Efficacy - Clinical improvement (except WHO scale)	Mild/Moderate Cases, Severe Cases	
<a href="https://ClinicalTrials.gov/show/NCT04353206">NCT04353206</a>	Convalescent Plasma in ICU Patients With COVID-19-induced Respiratory Failure	United States	N	N	Cell/Blood based	ND:Convalescent plasma	Other	Severe Cases	
<a href="https://ClinicalTrials.gov/show/NCT04329923">NCT04329923</a>	The PATCH Trial (Prevention And Treatment of COVID-19 With Hydroxychloroquine)	United States	Y	Y	Drug Repurposing	Hydroxychloroquine	Efficacy - Clinical improvement (except WHO scale)	Mild/Moderate Cases, Severe Cases	
<a href="https://ClinicalTrials.gov/show/NCT04313322">NCT04313322</a>	Treatment of COVID-19 Patients Using Wharton's Jelly-Mesenchymal Stem Cells	Jordan	N	N	Cell/Blood based	ND:Stem cells	Efficacy - Clinical improvement (except WHO scale)	Mild/Moderate Cases, Severe Cases	
<a href="https://ClinicalTrials.gov/show/NCT04355143">NCT04355143</a>	Colchicine to Reduce Myocardial Injury in COVID-19 (COLHEART-19)	United States	Y	N	Drug Repurposing	Colchicine	Efficacy - Other efficacy	Mild/Moderate Cases, Severe Cases	
<a href="https://ClinicalTrials.gov/show/NCT04333628">NCT04333628</a>	Chloroquine for Mild Symptomatic and Asymptomatic COVID-19	Israel	Y	Y	Drug Repurposing	Chloroquine	Efficacy - Viral load	Mild/Moderate Cases	
<a href="https://ClinicalTrials.gov/show/NCT04304053">NCT04304053</a>	Treatment of COVID-19 Cases and Chemoprophylaxis of Contacts as Prevention	Spain	Y	N	Drug Repurposing	Hydroxychloroquine	Efficacy - Infection rate (prevention)	Exposed individuals (family members, HCP), Mild/Moderate Cases	
<a href="https://ClinicalTrials.gov/show/NCT04353180">NCT04353180</a>	Assessment the Activity Value of 13- Cis-Retinoic Acid(Isotretinoin) in the Treatment of COVID-19	Egypt	Y	Y	Drug Repurposing	Retinoic acid	Efficacy - Other efficacy	Mild/Moderate Cases, Severe Cases	
<a href="https://ClinicalTrials.gov/show/NCT04362085">NCT04362085</a>	Coagulopathy of COVID-19: A Pragmatic Randomized Controlled Trial of Therapeutic Anticoagulation Versus Standard Care	Canada	Y	N	Drug Repurposing	Enoxaparin, Dalteparin, Tinzaparin, Heparin	Efficacy - Clinical improvement (except WHO scale)	Mild/Moderate Cases	
<a href="https://ClinicalTrials.gov/show/NCT04351620">NCT04351620</a>	High-dose Hydroxychloroquine for the Treatment of Ambulatory Patients With Mild COVID-19	United States	N	N	Drug Repurposing	Hydroxychloroquine	Safety	Mild/Moderate Cases	
<a href="https://ClinicalTrials.gov/show/NCT04339426">NCT04339426</a>	Atovaquone and Azithromycin Combination for Confirmed COVID-19 Infection	United States	N	N	Drug Repurposing	Atovaquone, Azithromycin	Efficacy - Viral load	Mild/Moderate Cases, Severe Cases	
<a href="https://ClinicalTrials.gov/show/NCT04334382">NCT04334382</a>	Hydroxychloroquine vs. Azithromycin for Outpatients in Utah With COVID-19	United States	Y	N	Drug Repurposing	Hydroxychloroquine	Efficacy - Other efficacy	Mild/Moderate Cases	
<a href="https://ClinicalTrials.gov/show/NCT04342182">NCT04342182</a>	Convalescent Plasma as Therapy for Covid-19 Severe SARS-CoV-2 Disease (CONCOVID Study)	Netherlands	Y	N	Cell/Blood based	ND:Convalescent plasma	Efficacy - Mortality	Severe Cases	
<a href="https://ClinicalTrials.gov/show/NCT04343001">NCT04343001</a>	Coronavirus Response - Active Support for Hospitalised Covid-19 Patients	United Kingdom	Y	Y	Drug Repurposing	Aspirin, Losartan, Simvastatin	Efficacy - Mortality	Mild/Moderate Cases, Severe Cases	
<a href="https://ClinicalTrials.gov/show/NCT04357990">NCT04357990</a>	Kerecis Oral and Nasal Spray for Treating the Symptoms of COVID-19	Iceland	Y	N	Shelved drug or NME	Omega3 Viruxide	Efficacy - Clinical improvement (except WHO scale)	Mild/Moderate Cases, Severe Cases	
<a href="https://ClinicalTrials.gov/show/NCT04348500">NCT04348500</a>	Clazakizumab (Anti-IL- 6 Monoclonal) Compared to Placebo for COVID19 Disease	United States	Y	N	Shelved drug or NME	Clazakizumab	Efficacy - Oxygen parameters	Severe Cases	
<a href="https://ClinicalTrials.gov/show/NCT04360980">NCT04360980</a>	The Effects of Standard Protocol With or Without Colchicine in Covid-19 Infection	Iran	Y	N	Drug Repurposing	Colchicine	Other	Mild/Moderate Cases	
<a href="https://ClinicalTrials.gov/show/NCT04335136">NCT04335136</a>	Recombinant Human Angiotensin-converting Enzyme 2 (rhACE2) as a Treatment for Patients With COVID-19	Denmark	Y	N	Shelved drug or NME	Recombinant Human Angiotensin-converting Enzyme 2	Efficacy - Other efficacy	Severe Cases	
<a href="https://ClinicalTrials.gov/show/NCT04359537">NCT04359537</a>	Efficacy of Various Doses of Hydroxychloroquine in Pre-Exposure Prophylaxis for COVID 19	Pakistan	Y	N	Drug Repurposing	Hydroxychloroquine	Efficacy - Infection rate (prevention)	Exposed individuals (family members, HCP)	
<a href="https://ClinicalTrials.gov/show/NCT04362189">NCT04362189</a>	Efficacy and Safety Study of Allogeneic HB-adMSCs for the Treatment of COVID-19	United States	Y	Y	Cell/Blood based	ND:Stem cells	Efficacy - Mortality	Mild/Moderate Cases, Severe Cases	
<a href="https://ClinicalTrials.gov/show/NCT04343092">NCT04343092</a>	Ivermectin Adjuvant to Hydroxychloroquin and Azithromycine in COVID19 Patients	Iraq	Y	N	Drug Repurposing	Ivermectin	Efficacy - Other efficacy	Severe Cases	
<a href="https://ClinicalTrials.gov/show/NCT04359511">NCT04359511</a>	Efficacy and Safety of Corticosteroids in Oxygen-dependent Patients With COVID-19 Pneumonia	France	Y	N	Drug Repurposing	Prednisone	Efficacy - WHO scale	Mild/Moderate Cases, Severe Cases	
<a href="https://ClinicalTrials.gov/show/NCT04331795">NCT04331795</a>	Tocilizumab to Prevent Clinical Decompensation in Hospitalized, Non-critically Ill Patients With COVID-19 Pneumonitis	United States	N	Y	Drug Repurposing	Tocilizumab	Efficacy - Clinical improvement (except WHO scale)	Mild/Moderate Cases	
<a href="https://ClinicalTrials.gov/show/NCT04333225">NCT04333225</a>	Hydroxychloroquine in the Prevention of COVID-19 Infection in Healthcare Workers	United States	Y	N	Drug Repurposing	Hydroxychloroquine	Efficacy - Infection rate (prevention)	Exposed individuals (family members, HCP)	
<a href="https://ClinicalTrials.gov/show/NCT04351724">NCT04351724</a>	Austrian CoronaVirus Adaptive Clinical Trial (COVID-19)	Austria	Y	Y	Drug Repurposing, Shelved drug or NME	Hydroxychloroquine, Chloroquine, Lopinavir/ritonavir, Rivaroxaban, Candesartan, Clazakizumab	Efficacy - WHO scale	Mild/Moderate Cases, Severe Cases	
<a href="https://ClinicalTrials.gov/show/NCT04344444">NCT04344444</a>	Treatment in Patients With Suspected or Confirmed COVID-19 With Early Moderate or Severe Disease	United States	Y	Y	Drug Repurposing	Hydroxychloroquine, Azithromycin	Efficacy - WHO scale	Mild/Moderate Cases, Severe Cases	
<a href="https://ClinicalTrials.gov/show/NCT04352465">NCT04352465</a>	Efficacy and Safety of MTX-loaded Nanoparticles to Treat Severe COVID-19 Patients	Brazil	N	N	Shelved drug or NME	Methotrexate nano-formulation	Efficacy - Clinical improvement (except WHO scale)	Severe Cases	
<a href="https://ClinicalTrials.gov/show/NCT04352751">NCT04352751</a>	Experimental Use of Convalescent Plasma for Passive Immunization in Current COVID-19 Pandemic in Pakistan in 2020	Pakistan	N	N	Cell/Blood based	ND:Convalescent plasma	Efficacy - Clinical improvement (except WHO scale)	Mild/Moderate Cases, Severe Cases	
<a href="https://ClinicalTrials.gov/show/NCT04307693">NCT04307693</a>	Comparison of Lopinavir/Ritonavir or Hydroxychloroquine in Patients With Mild Coronavirus Disease (COVID-19)	Korea, Republic of	Y	Y	Drug Repurposing	Hydroxychloroquine, Lopinavir/ritonavir	Efficacy - Viral load	Mild/Moderate Cases	
<a href="https://ClinicalTrials.gov/show/NCT04329650">NCT04329650</a>	Efficacy and Safety of Siltuximab vs. Corticosteroids in Hospitalized Patients With COVID-19 Pneumonia	Spain	Y	N	Drug Repurposing	Siltuximab, Methylprednisolone	Efficacy - Clinical improvement (except WHO scale)	Mild/Moderate Cases, Severe Cases	
<a href="https://ClinicalTrials.gov/show/NCT04345692">NCT04345692</a>	A Randomized Controlled Clinical Trial: Hydroxychloroquine for the Treatment of COVID-19 in Hospitalized Patients	United States	Y	N	Drug Repurposing	Hydroxychloroquine	Efficacy - WHO scale	Severe Cases	
<a href="https://ClinicalTrials.gov/show/NCT04362332">NCT04362332</a>	Chloroquine, Hydroxychloroquine or Only Supportive Care in Patients AdmItted With Moderate to Severe COVID-19	Netherlands	Y	Y	Drug Repurposing	Chloroquine, Hydroxychloroquine	Efficacy - Clinical improvement (except WHO scale)	Mild/Moderate Cases, Severe Cases	
<a href="https://ClinicalTrials.gov/show/NCT04323631">NCT04323631</a>	Hydroxychloroquine for the Treatment of Patients With Mild to Moderate COVID-19 to Prevent Progression to Severe Infection or Death	Israel	Y	N	Drug Repurposing	Hydroxychloroquine	Efficacy - Mortality	Mild/Moderate Cases	
<a href="https://ClinicalTrials.gov/show/NCT04331834">NCT04331834</a>	Pre-Exposure Prophylaxis With Hydroxychloroquine for High-Risk Healthcare Workers During the COVID-19 Pandemic	Spain	Y	N	Drug Repurposing	Hydroxychloroquine	Efficacy - Infection rate (prevention)	Exposed individuals (family members, HCP)	
<a href="https://ClinicalTrials.gov/show/NCT04331470">NCT04331470</a>	Evaluation of Efficacy of Levamisole and Formoterol+Budesonide in Treatment of COVID-19	Iran	Y	N	Drug Repurposing	Levamisole, Budesonide/formoterol	Efficacy - Other efficacy	Mild/Moderate Cases	
<a href="https://ClinicalTrials.gov/show/NCT04356677">NCT04356677</a>	Study to Evaluate the Safety and Efficacy of VIRAZOLE  in Hospitalized Adult Participants With Respiratory Distress Due to COVID-19	United States	N	N	Drug Repurposing	Ribavirin	Efficacy - Clinical improvement (except WHO scale)	Mild/Moderate Cases, Severe Cases	
<a href="https://ClinicalTrials.gov/show/NCT04350320">NCT04350320</a>	Randomized Open-blind Controlled Trial to Study the Benefit of Colchicine in Patients With COVID-19	Spain	Y	N	Drug Repurposing	Colchicine	Efficacy - WHO scale	Mild/Moderate Cases, Severe Cases	
<a href="https://ClinicalTrials.gov/show/NCT04313023">NCT04313023</a>	The Use PUL-042 to Reduce the Infection Rate and Progression to COVID-19 in Adults Exposed to SARS-CoV-2	United States	Y	N	Shelved drug or NME	PUL-042	Efficacy - Infection rate (prevention)	Exposed individuals (family members, HCP)	
<a href="https://ClinicalTrials.gov/show/NCT04336254">NCT04336254</a>	Safety and Efficacy Study of Allogeneic Human Dental Pulp Mesenchymal Stem Cells to Treat Severe COVID-19 Patients	China	Y	N	Cell/Blood based	ND:Stem cells	Efficacy - Clinical improvement (except WHO scale)	Severe Cases	
<a href="https://ClinicalTrials.gov/show/NCT04292899">NCT04292899</a>	Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734 ) in Participants With Severe Coronavirus Disease (COVID-19)	United States	N	N	Shelved drug or NME	Remdesivir	Efficacy - Oxygen parameters	Severe Cases	
<a href="https://ClinicalTrials.gov/show/NCT04332094">NCT04332094</a>	Clinical Trial of Combined Use of Hydroxychloroquine, Azithromycin, and Tocilizumab for the Treatment of COVID-19	Brazil	Y	N	Drug Repurposing	Tocilizumab	Efficacy - Mortality	Mild/Moderate Cases	
<a href="https://ClinicalTrials.gov/show/NCT04312997">NCT04312997</a>	The Use of PUL-042 Inhalation Solution to Reduce the Severity of COVID-19 in Adults Positive for SARS-CoV-2 Infection	United States	Y	N	Shelved drug or NME	PUL-042	Efficacy - WHO scale	Mild/Moderate Cases	
<a href="https://ClinicalTrials.gov/show/NCT04334980">NCT04334980</a>	Evaluating the Safety, Tolerability and Immunogenicity of bacTRL-Spike Vaccine for Prevention of COVID-19	Canada	Y	Y	Vaccine	bacTRL-Spike vaccine	Safety	Other	
